researcher,region,site_code,rep,x,y,z,shrub_species,NSAT,NSRH,SGT,microsite,date,start_time
ng,Tecopa,Tecopa,8,190,125,123,Larrea tridentata ,28.2,12.06,24.9,shrub,20-02-2024,13:05
ng,Tecopa,Tecopa,9,185,162,91,Larrea tridentata ,27.7,12.47,25.7,shrub,20-02-2024,13:05
ng,Tecopa,Tecopa,10,235,147,127,Larrea tridentata ,27.61,12.01,25.7,shrub,20-02-2024,13:05
ng,Tecopa,Tecopa,11,157,148,97,Larrea tridentata ,26.78,12.41,29.1,shrub,20-02-2024,13:05
ng,Tecopa,Tecopa,12,175,147,132,Larrea tridentata ,28.11,13.16,24.9,shrub,20-02-2024,13:05
ng,Tecopa,Tecopa,13,114,93,88,Larrea tridentata ,28.36,12.2,27.4,shrub,20-02-2024,13:05
ng,Tecopa,Tecopa,14,152,151,82,Larrea tridentata ,28.97,11.88,29.1,shrub,20-02-2024,13:05
ng,Tecopa,Tecopa,15,187,184,116,Larrea tridentata ,28.95,12.34,23.1,shrub,20-02-2024,13:05
ng,Tecopa,Tecopa,16,137,83,93,Larrea tridentata ,28.68,12,22.3,shrub,20-02-2024,13:05
ng,Tecopa,Tecopa,17,191,172,162,Larrea tridentata ,28.04,11.65,24.9,shrub,20-02-2024,13:05
ng,Tecopa,Tecopa,18,193,137,90,Larrea tridentata ,27.64,12.6,29.9,shrub,20-02-2024,13:05
ng,Tecopa,Tecopa,19,83,65,57,Larrea tridentata ,27.94,13.06,28.4,shrub,20-02-2024,13:05
ng,Tecopa,Tecopa,20,103,98,56,Larrea tridentata ,26,13.5,30.8,shrub,20-02-2024,13:05
ng,Tecopa,Tecopa,21,119,82,60,Larrea tridentata ,26.2,13.73,33.3,shrub,20-02-2024,13:05
ng,Tecopa,Tecopa,22,170,162,80,Larrea tridentata ,25.2,13.45,24,shrub,20-02-2024,13:05
ng,Tecopa,Tecopa,23,160,160,111,Larrea tridentata ,26.2,13.64,31,shrub,20-02-2024,13:05
ng,Tecopa,Tecopa,24,175,143,81,Larrea tridentata ,25.5,13.46,20.9,shrub,20-02-2024,13:05
ng,Tecopa,Tecopa,25,152,102,118,Larrea tridentata ,26.02,13.32,33.5,shrub,20-02-2024,13:05
ng,Tecopa,Tecopa,26,142,108,81,Larrea tridentata ,25.66,13.62,31.1,shrub,20-02-2024,13:05
ng,Tecopa,Tecopa,27,142,107,76,Larrea tridentata ,26.48,13.22,32.2,shrub,20-02-2024,13:05
ng,Tecopa,Tecopa,28,135,87,104,Larrea tridentata ,25.33,13.78,30.6,shrub,20-02-2024,13:05
ng,Tecopa,Tecopa,29,102,95,67,Larrea tridentata ,26.42,13.38,30.8,shrub,20-02-2024,13:05
ng,Tecopa,Tecopa,30,187,97,129,Larrea tridentata ,26.68,13.34,26.1,shrub,20-02-2024,13:05
ng,Cuyama,Cuyama_1,1,,,,Ephedra californica,15.41,37,15.4,open,13-02-2023,9:40
ng,Cuyama,Cuyama_1,2,,,,Ephedra californica,16.88,36.85,15.2,open,13-02-2023,9:40
ng,Cuyama,Cuyama_1,3,,,,Ephedra californica,16.98,36.42,15.9,open,13-02-2023,9:40
ng,Cuyama,Cuyama_1,4,,,,Ephedra californica,17.37,35.23,12.9,open,13-02-2023,9:40
ng,Cuyama,Cuyama_1,5,,,,Ephedra californica,17.11,36.88,15.7,open,13-02-2023,9:40
ng,Cuyama,Cuyama_1,6,,,,Ephedra californica,17.04,33.59,17.6,open,13-02-2023,9:40
ng,Cuyama,Cuyama_1,7,,,,Ephedra californica,20.87,30,17.9,open,13-02-2023,9:40
ng,Cuyama,Cuyama_1,8,,,,Ephedra californica,20.96,28.07,20,open,13-02-2023,9:40
ng,Cuyama,Cuyama_1,9,,,,Ephedra californica,19.23,31.38,15,open,13-02-2023,9:40
ng,Cuyama,Cuyama_1,10,,,,Ephedra californica,20.35,31.83,17.2,open,13-02-2023,9:40
ng,Cuyama,Cuyama_1,11,,,,Ephedra californica,21,30.76,23.6,open,13-02-2023,9:40
ng,Cuyama,Cuyama_1,12,,,,Ephedra californica,19.44,29.03,21.2,open,13-02-2023,9:40
ng,Cuyama,Cuyama_1,13,,,,Ephedra californica,21.6,29.87,19.9,open,13-02-2023,9:40
ng,Cuyama,Cuyama_1,14,,,,Ephedra californica,20.21,29.73,17.9,open,13-02-2023,9:40
ng,Cuyama,Cuyama_1,15,,,,Ephedra californica,20.34,30.52,24.6,open,13-02-2023,9:40
ng,Cuyama,Cuyama_1,16,,,,Ephedra californica,21.4,31.14,22.2,open,13-02-2023,9:40
ng,Cuyama,Cuyama_1,17,,,,Ephedra californica,20.62,30.77,24.8,open,13-02-2023,9:40
ng,Cuyama,Cuyama_1,18,,,,Ephedra californica,21.58,28.5,22,open,13-02-2023,9:40
